# (c) 2013-2016, Tomás Oliveira e Silva
#
# See disclaimer in page
#   http://sweet.ua.pt/tos/hobbies.html
#
# Do not bookmark this page, because its URI may change
# in the future. Instead, bookmark its parent page:
#   http://sweet.ua.pt/tos/twin_gaps.html
#
# Count limit --- 1e16
#   g  is the gap between twin prime pairs
# F(g) is the least prime of the first twin prime
#      pair of the first occurrence of a gap of g
# T(g) is the number of times a gap of g occurs
#      with the last prime of the second prime pair
#      of a gap smaller than 1e16
# An * marks a record-holder; g is a record-holder
#      if F(u) > F(g) for all u > g; F(g) is a
#      record-holder if F(u) < F(g) for all u < g
#
# Last update made on August 5, 2013

    g             F(g)           T(g)
 4506       12851147471     329655306
 4512        7128872669     588494415
 4518        9334195769     472579305
 4524        9454730837     482684476
 4530        2940369041     799313437
 4536        8994395561     376908228
 4542        8585258447     454984874
 4548        6563701871     672010318
 4554        3953621807     338726968
 4560       17089757357     789926637
 4566        5794803491     297457038
 4572       16767908699     445443701
 4578        7823809619     940107875
 4584       10898434907     230118465
 4590        1899797987    1079348905
 4596       30321072401*    261047827
 4602        1256735189     561860584
 4608        6158689289     572024446
 4614       12545153987     210832679
 4620        6763733939    1323543424
 4626       19314080111     247757554
 4632        5489370629     549818255
 4638        4653222359     456128785
 4644       18590429987     255095088
 4650       10627277861     869301598
 4656       20230253501     244377670
 4662        5896583219     816122625
 4668       14911928279     389890793
 4674        7257716897     313755093
 4680        3104125901     704819562
 4686       14111944391     259216941
 4692       13709967497     654185243
 4698       18349083419     419464781
 4704       13996340357     347086748
 4710        4889961491     722544594
 4716       16260263291     256121725
 4722        9615455807     370110284
 4728        6597038531     482183811
 4734       23375159957     277678812
 4740       13655057279     598584672
 4746       22808791001     310410599
 4752        7272164699     490076004
 4758        6658947131     694793694
 4764        9577224647     174872537
 4770*        698542487     558166953
 4776        7870866851     283722880
 4782       22957141019     412156345
 4788       11028648359     655576286
 4794       12450199547     239439384
 4800       15544044317     682808672
 4806       23949227231     177563674
 4812        9509257829     410674040
 4818        4132574219     611007309
 4824       17442694517     187024945
 4830       11783194097    1003821392
 4836        7308492341     224590740
 4842       16699004027     501872929
 4848        7465479641     331986974
 4854       40133489717*    161178493
 4860        6816343949     878285470
 4866       29277180551     169568486
 4872        6469127207     568701489
 4878       11778071609     342048544
 4884       14740888067     281940908
 4890        4907391521     531007465
 4896       12631811921     189459414
 4902        8858512079     481431340
 4908        7070870201     352393731
 4914       14536428077     306643337
 4920        6900630587     501298247
 4926       14676746741     232164691
 4932       17775728357     330747935
 4938        5129428739     357128069
 4944       18708246677     197372908
 4950        9581827559     566427575
 4956        9274911551     263665320
 4962        9097619129     323278061
 4968        6483253571     482575329
 4974        8808021527     162667908
 4980       13166357639     490671709
 4986       47561426681*    206773906
 4992       21739316789     393535030
 4998       12321399479     535429366
 5004       10211144717     146061024
 5010       10430470361     560521823
 5016        3129625151     237694799
 5022       17107159469     294387909
 5028        4246544369     362607741
 5034       48325636067*    149643552
 5040        6989875181     763336189
 5046       23999868461     158626371
 5052        9359596187     378888543
 5058       27560901281     318981412
 5064       25178204087     141824062
 5070        8699631077     634287194
 5076       21763349351     139090767
 5082       13627066547     583276437
 5088       32957180981     259518786
 5094       37382403467     200904884
 5100        7221471137     428744837
 5106       22864402751     175574085
 5112       15450217337     339944332
